title	link	displayLink	snippet	formattedUrl	pagemap	mime	fileFormat	cacheId
These results are unofficial from La Fiesta de los Vaqueros in ...	http://www.espn.com/i/prorodeo/TucsonRodeo_070223.pdf	www.espn.com	"Bareback riding (first round): 1, Matt Lait, Stavely, Alberta, Canada 83 points on 
Beutler. & Son's Wayward Wind; 2-3, Cody DeMers, Kimberly, Idaho/Larry ..."	www.espn.com/i/prorodeo/TucsonRodeo_070223.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20070223185706-06'00'"", 'creationdate': ""D:20070223173617-07'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - Tucson web results.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	WGT1ZIyCdJ4J
Woodbine	http://www.espn.com/media/horse/Race1_052903.pdf	www.espn.com	"FILLIES. Nominations by 12:00 noon on Monday, May 26, 2003. $1,000 due at 
time of final entry. Final entries to be made through the entry box no later than ..."	www.espn.com/media/horse/Race1_052903.pdf	{'metatags': [{'creationdate': 'D:191030529111815', 'producer': 'Acrobat Distiller 3.01 for Windows'}]}	application/pdf	PDF/Adobe Acrobat	Ewsji789t9UJ
These rodeo results are unofficial and this file is a temporary display ...	http://www.espn.com/i/prorodeo/results060605b.pdf	www.espn.com	"Jun 6, 2006 ... Old Fort Days Rodeo. Fort Smith, Ark., May 29-June 3. Bareback riding: 1. Will 
Lowe, 82 points on David Bailey Rodeo's Cherokee Bill,. $2,936 ..."	www.espn.com/i/prorodeo/results060605b.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20060607163159-05'00'"", 'creationdate': ""D:20060607134921-06'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - June 5 results.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	KzZBGZFXbsgJ
These results are unofficial from the National Western (Denver) Jan ...	http://www.espn.com/i/prorodeo/DenverRodeo_070117.pdf	www.espn.com	"Jan 17, 2007 ... Team Roping: 1, J.B. Lord, Piedmont, S.D., and Matt Zancanella, Aurora, S.D., 6.3
. 2,. Colter Todd, Marana, Ariz., and Cesar De La Cruz, ..."	www.espn.com/i/prorodeo/DenverRodeo_070117.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20070118071511-07'00'"", 'creationdate': ""D:20070118071511-07'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - Jan.17 Denver results.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	9H97Mw7wHKUJ
UNITED STATES DISTRICT COURT MIDDLE DISTRICT OF ...	https://www.espn.com/pdf/2013/espn_otl_PennGovlawsuit.pdf	www.espn.com	"Jan 2, 2013 ... State football has played a major role not only as a focus of campus life, but as a 
generator of revenue for a proud university, a leading tourist ..."	https://www.espn.com/pdf/2013/espn_otl_PennGovlawsuit.pdf	"{'metatags': [{'moddate': ""D:20130102150621-05'00'"", 'creationdate': ""D:20130102103046-05'00'"", 'creator': 'ScanSoft PDF Library', 'subject': 'psulaw', 'producer': '; modified using iText 2.1.7 by 1T3XT', 'title': 'psulaw'}]}"	application/pdf	PDF/Adobe Acrobat	1gEmefBk7HYJ
9 Colonial Downs	http://www.espn.com/media/horse/040626Race5.pdf	www.espn.com	"9 Colonial Downs. DaHoss50k. 1 MILE (Inner Turf). (1:34¦) 4th Running of THE 
DA HOSS. Purse $50,000 For Three Year-olds And. Upward.By subscription of ..."	www.espn.com/media/horse/040626Race5.pdf	{'cse_thumbnail': [{'src': 'https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRAnDcR61iGv7XJ_Wk9mfmuQsdSQSLFZUT00NecKi5jwGZvDZxgMJFMqmk', 'width': '286', 'height': '154'}], 'metatags': [{'moddate': 'D:20040623140910', 'creationdate': 'D:20040623140910', 'creator': 'Neevia Document Converter 4.9.1', 'producer': 'Neevia Document Converter'}], 'cse_image': [{'src': 'x-raw-image:///de54c2cf8ba8fb514c3eea61c8cb84b6a084526f4d017fa037a97f25ca6adee2'}]}	application/pdf	PDF/Adobe Acrobat	Gazmu6_VlwAJ
Frontier Days Rodeo, July 19-30. Cheyenne Frontier Days Rodeo ...	http://www.espn.com/i/prorodeo/Cheyenne060729.pdf	www.espn.com	"Bareback Riding: First round: 1. Will Lowe, Canyon, Texas, 84 points, $6,138; 2. (
tie). Heath Ford, Greeley, Colo., and Bo Casper, Fort Scott, Kan., 83, $4,092 ..."	www.espn.com/i/prorodeo/Cheyenne060729.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20060729204139-06'00'"", 'creationdate': ""D:20060729204139-06'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - July 29 results.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	BQsujoN2gbAJ
The following are unofficial Wrangler ProRodeo Tour standings as of ...	http://www.espn.com/i/prorodeo/2007_TourStandings_070220.pdf	www.espn.com	"BAREBACK RIDING. 1. Will Lowe. Canyon, Texas. $20,087. 2. Jason Jeter. 
Mansfield, Texas. 16,788. 3. Justin McDaniel Vernon, Texas. 15,631. 4. Bo 
Casper."	www.espn.com/i/prorodeo/2007_TourStandings_070220.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSu5sz2x1kxFfifUkRMHoOd25uQNWegcOcP32c0kmYsrosQtiTpVYqmv80N', 'width': '358', 'height': '141'}], 'metatags': [{'moddate': ""D:20070220101006-06'00'"", 'creationdate': ""D:20070219165454-07'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - 2007 Tour standings 2-19.doc'}], 'cse_image': [{'src': 'x-raw-image:///0a54be364b56089e04114567e136257a500adf3fd544e74c6b55df1c2a24d460'}]}"	application/pdf	PDF/Adobe Acrobat	3OIIIjvYsLIJ
These results are unofficial from the California Rodeo Salinas, July ...	http://www.espn.com/i/prorodeo/Salinas060723.pdf	www.espn.com	"Bareback riding: First round: 1. Paul Jones, 85 points, $4,202; 2. (tie) Chad Klein 
and. Jess Davis, 83, $2,801 each; 4. (tie) Marvin Garrett, Chris Harris and Andy ..."	www.espn.com/i/prorodeo/Salinas060723.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20060724115121-06'00'"", 'creationdate': ""D:20060724115121-06'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - July 23 results.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	b-ItQCGFDGwJ
Colorado Springs, Colo.	http://www.espn.com/i/prorodeo/ColoSprings060713.pdf	www.espn.com	"Current round and average results: Bareback riding: First Round leaders: 1. Paul 
Jones, 86 points; 2. Dustin Murray, 81;. 3. Chad Klein, 80; 4. Silas Richards, 78 ..."	www.espn.com/i/prorodeo/ColoSprings060713.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20060714091801-06'00'"", 'creationdate': ""D:20060714091801-06'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - July 13 results.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	OrkgSOKuhuwJ
BEETHOVEN	http://www.espn.com/winnercomm/horseracing/Beethoven.pdf	www.espn.com	"29Nov08 CD11 ft 1B :47讣1:12竟1:44逗2. Stk - KyJCG2 - 150k 111-99 7 1¡ 1¹ 1丁
2 3¡ Leparoux J R. 122 fL *1.10 Beethoven122ǖ Giant Oak122ǖ Capt."	www.espn.com/winnercomm/horseracing/Beethoven.pdf	{'metatags': [{'moddate': 'D:20090126163507', 'creationdate': 'D:20090126163507', 'creator': 'Adobe Acrobat 8.0', 'author': 'user', 'producer': 'GPL Ghostscript 8.15', 'title': 'Three_Year_Olds[1].pdf'}]}	application/pdf	PDF/Adobe Acrobat	yJz8YWetC98J
These rodeo results are unofficial and this file is a temporary display ...	http://www.espn.com/i/prorodeo/March10Houston.pdf	www.espn.com	"Mar 1, 2006 ... Houston Livestock Show and Rodeo. Houston, Texas, Feb. 28-Mar. 19, 2006. 
Bareback riding: First round leaders: 1. Jess Davis, Payson, Utah, ..."	www.espn.com/i/prorodeo/March10Houston.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20060310160134-07'00'"", 'creationdate': ""D:20060310160134-07'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'jforan', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - Mar. 10 Results.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	zB4DtlGpkskJ
These results are unofficial from the Greeley Stampede, June 27 ...	http://www.espn.com/i/prorodeo/Greeley060629.pdf	www.espn.com	"Greeley Stampede unofficial results-June 29: Bareback riding: First round 
leaders: 1. (tie) Royce Ford on Beutler and Son Rodeo's. Ripcord and Clayton 
Foltyn ..."	www.espn.com/i/prorodeo/Greeley060629.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20060630091135-06'00'"", 'creationdate': ""D:20060630091135-06'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - Greeley early results for web June 29.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	JDubwg44qkQJ
These results are unofficial from La Fiesta de los Vaqueros in ...	http://www.espn.com/i/prorodeo/TucsonRodeo_070224.pdf	www.espn.com	"Saddle bronc riding: 1, (tie) Everett Ashurst, Douglas, Ariz., on Beutler and Son. 
Rodeo's Smokin Smurf and Dusty Hausauer, Dickinson, N.D., on Beutler and ..."	www.espn.com/i/prorodeo/TucsonRodeo_070224.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20070226085543-06'00'"", 'creationdate': ""D:20070224170111-07'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - Tucson web results.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	g8AFa1EREOkJ
Frontier Days Rodeo, July 19-30. Cheyenne Frontier Days Rodeo ...	http://www.espn.com/i/prorodeo/Cheyenne060722.pdf	www.espn.com	"Team Roping: First round: 1. Jay Adams/Randon Adams, Logandale, Nev., 7.1 
seconds, $5,973 each; 2. Colter Todd, Marana, Ariz./Cesar de la Cruz, Tucson, ..."	www.espn.com/i/prorodeo/Cheyenne060722.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20060723095218-06'00'"", 'creationdate': ""D:20060723095218-06'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - July 22 results.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	9Momf0uz84IJ
